id,title,text,context_tweet,pred_cot,gpt_regionalisms,dict_regionalisms
360776,"Javier Milei confirmó que va ""a militar en política"" junto a José Luis Espert para que ""en 35 años la Argentina sea primera potencia mundial""",@usuario Otro parásito,Javier Milei confirmó que va “a militar en política” junto a José Luis Espert para que “en 35 años la Argentina sea primera potencia mundial” https://t.co/pLYv9aPEMP,respuesta: No hay expresiones regionales en este comentario. La respuesta final es no.,[],[]
361136,Córdoba: rompieron 5 silo bolsas de maíz en un tambo que estaban destinados para alimentar 500 vacas,@usuario Si esto no es peronismo terrorista q es,Córdoba: rompieron 5 silo bolsas de maíz en un tambo que estaban destinados para alimentar 500 vacas https://t.co/YooCa6maEw,"La expresión ""peronismo terrorista"" no es un término regional del español de Argentina. La respuesta final es no.",[],[]
352319,Coronavirus: la ONU pide reducir la población carcelaria para contener la pandemia,@usuario Ya empezaron a largar a algunos k... antes de saber de la.pandemia,Coronavirus: la ONU pide reducir la población carcelaria para contener la pandemia https://t.co/9vZC0NGQwN,"La expresión ""k"" usada en el texto es un término regional en Argentina que se refiere a los seguidores o simpatizantes del kirchnerismo, un movimiento político argentino liderado por Néstor Kirchner y Cristina Fernández de Kirchner. Por lo tanto, la respuesta final es sí.",['k'],[]
396999,Una nena wichi de dos años murió por desnutrición en Salta,@usuario No puede ser si el titere dice quecen argentina no hay hambre con los k,Una nena wichi de dos años murió por desnutrición en Salta https://t.co/xemWPmsg9J,"respuesta: La expresión ""cen argentina"" es una forma coloquial y regional de referirse a la situación de hambre en Argentina durante el gobierno de los Kirchner. La respuesta final es sí.",['cen argentina'],[]
376286,Axel Kicillof exigió que Buenos Aires sea considerada una provincia petrolera,"@usuario Yo quiero que Córdoba, santa fe y Mendoza se independicen. No se puede??",Axel Kicillof exigió que Buenos Aires sea considerada una provincia petrolera | Por David Cayón https://t.co/a1lzxpkH6e,"respuesta: El comentario contiene una expresión regional, ya que se refiere a la idea de que las provincias de Córdoba, Santa Fe y Mendoza se independicen, lo cual es una referencia a la relación histórica de centralismo y federalismo en Argentina. La respuesta final es sí.",[],[]
354892,"""Tucán redimido"": El duro descalificativo de Maximiliano Guerra hacia Florencia Kirchner","@usuario Los que se enojan porque le dicen ""tucan"" a Flor K son los mismos que le dicen ""gato"" a Macri, ""cerda"" a Carrió y ""gorilas"" a los que no piensan como ellos. 
Tenemos una incoherencia zoológica dando vueltas. (NMondeo)","""Tucán redimido"": El duro descalificativo de Maximiliano Guerra hacia Florencia Kirchner https://t.co/LMnHQGYAkK https://t.co/BPd4d6tMJ9","respuesta: La expresión ""tucán"" como descalificativo para referirse a Florencia Kirchner es un término regional en Argentina. La respuesta final es sí.",['tucan'],"['dar', 'gato', 'gorila', 'macri', 'tucan']"
387341,"Ivana Nadal se cansó de que la criticaran y sorprendió con su respuesta: ""Gracias a Dios a fin de año me voy del país""","@usuario Y bueno que se vaya. Que se baje del poni.
Es una persona común y corriente.",Ivana Nadal se cansó de la criticaran y sorprendió con su respuesta: “Gracias a Dios a fin de año me voy del país” https://t.co/ejHs0hGFwg,"respuesta: La expresión ""que se baje del poni"" es un regionalismo de Argentina que significa que la persona debe dejar de creerse superior o especial. La respuesta final es sí.",['que se baje del poni'],['poni']
334075,"Mariana Genesio Peña pasa su cuarentena total con guantes, barbijo y desnuda: ""Mi cuerpo es el planeta Tierra""",@usuario Y bueno. Tiene su cable a tierra,"Mariana Genesio Peña pasa su cuarentena total con guantes, barbijo y desnuda: “Mi cuerpo es el planeta Tierra” https://t.co/igQITEEaKl","La expresión ""tiene su cable a tierra"" no es un término regional del español de Argentina, es una expresión común en todo el mundo hispanohablante para referirse a una persona que tiene algo que le ayuda a mantenerse centrado o equilibrado. La respuesta final es no.",[],[]
330538,"Desopilante respuesta de More Rial cuando le preguntaron de qué trabaja: ""Me la rasco...""",@usuario Paso imbancable,"😂[QUIEN PUDIERA]😂 Desopilante respuesta de More Rial cuando le preguntaron de qué trabaja: ""Me la rasco..."" &gt;&gt;&gt; En medio de una transmisión de Instagram reveló cuáles son sus hábitos laborales y sorprendió a todos sus seguidores. ¡Mirá!

https://t.co/0KWlc9ecBm","La expresión ""Paso imbancable"" es de carácter regional en Argentina y se refiere a algo que es insoportable o intolerable. La respuesta final es sí.",['paso imbancable'],[]
393056,China lanzó una peligrosa venganza por los reportes sobre la eficacia de una de sus vacunas,@usuario Infobae está operando fuerte contra Sinovac. Si quieren informarse lean la página del Instituto de Butantan en portugués.,China lanzó una peligrosa venganza por los reportes sobre la eficacia de una de sus vacunas https://t.co/65PypL41wL,No hay expresiones regionales en el comentario. La respuesta final es no.,[],[]
